indicator,overall_count,overall_rate,class_0_count,class_0_rate,class_1_count,class_1_rate
X-Virus-Scanned,1895,0.05478778767202498,0,0.0,1895,0.10957557534404996
X-Virus-Status,1798,0.05198334682548861,0,0.0,1798,0.10396669365097722
SpamAssassin,117,0.0033826760726263444,0,0.0,117,0.006765352145252689
X-Spam-Status,117,0.0033826760726263444,0,0.0,117,0.006765352145252689
X-Spam-Level,100,0.002891176130449867,0,0.0,100,0.005782352260899734
X-Spam-Report,64,0.001850352723487915,0,0.0,64,0.00370070544697583
X-Spam-Checker-Version,61,0.0017636174395744188,0,0.0,61,0.0035272348791488377
X-Spam-Flag,53,0.0015323233491384295,0,0.0,53,0.003064646698276859
X-Spam-Score,10,0.0002891176130449867,0,0.0,10,0.0005782352260899734
X-Forefront-Antispam-Report,5,0.00014455880652249336,0,0.0,5,0.0002891176130449867
X-Microsoft-Antispam,3,8.673528391349601e-05,0,0.0,3,0.00017347056782699203
X-MS-Exchange-Organization-SCL,0,0.0,0,0.0,0,0.0
X-Microsoft-Antispam-Message-Info,0,0.0,0,0.0,0,0.0
X-Phish,0,0.0,0,0.0,0,0.0
X-Phishing,0,0.0,0,0.0,0,0.0
X-Proofpoint-Spam-Details,0,0.0,0,0.0,0,0.0
